,지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
0,서울 종로구,도시대기,111123,종로구,2021100101,0.003,0.6,0.002,0.039,31.0,18.0,서울 종로구 종로35가길 19
1,서울 종로구,도시대기,111123,종로구,2021100102,0.003,0.6,0.002,0.035,27.0,16.0,서울 종로구 종로35가길 19
2,서울 종로구,도시대기,111123,종로구,2021100103,0.003,0.6,0.002,0.033,28.0,18.0,서울 종로구 종로35가길 19
3,서울 종로구,도시대기,111123,종로구,2021100104,0.003,0.6,0.002,0.03,26.0,16.0,서울 종로구 종로35가길 19
4,서울 종로구,도시대기,111123,종로구,2021100105,0.003,0.5,0.003,0.026,26.0,16.0,서울 종로구 종로35가길 19
5,서울 종로구,도시대기,111123,종로구,2021100106,0.003,0.5,0.002,0.025,22.0,14.0,서울 종로구 종로35가길 19
6,서울 종로구,도시대기,111123,종로구,2021100107,0.003,0.5,0.002,0.024,25.0,14.0,서울 종로구 종로35가길 19
7,서울 종로구,도시대기,111123,종로구,2021100108,0.003,0.5,0.005,0.023,24.0,14.0,서울 종로구 종로35가길 19
8,서울 종로구,도시대기,111123,종로구,2021100109,0.003,0.5,0.011,0.02,23.0,12.0,서울 종로구 종로35가길 19
9,서울 종로구,도시대기,111123,종로구,2021100110,0.003,0.6,0.026,0.016,40.0,22.0,서울 종로구 종로35가길 19
10,서울 종로구,도시대기,111123,종로구,2021100111,0.003,0.5,0.031,0.014,49.0,29.0,서울 종로구 종로35가길 19
11,서울 종로구,도시대기,111123,종로구,2021100112,0.003,0.5,0.035,0.017,43.0,24.0,서울 종로구 종로35가길 19
12,서울 종로구,도시대기,111123,종로구,2021100113,0.003,0.6,0.04,0.021,43.0,27.0,서울 종로구 종로35가길 19
13,서울 종로구,도시대기,111123,종로구,2021100114,0.003,0.5,0.051,0.02,42.0,24.0,서울 종로구 종로35가길 19
14,서울 종로구,도시대기,111123,종로구,2021100115,0.003,0.5,0.059,0.017,40.0,26.0,서울 종로구 종로35가길 19
15,서울 종로구,도시대기,111123,종로구,2021100116,0.003,0.4,0.064,0.014,39.0,20.0,서울 종로구 종로35가길 19
16,서울 종로구,도시대기,111123,종로구,2021100117,0.003,0.5,0.07,0.016,42.0,22.0,서울 종로구 종로35가길 19
17,서울 종로구,도시대기,111123,종로구,2021100118,0.003,0.5,0.06,0.017,44.0,25.0,서울 종로구 종로35가길 19
18,서울 종로구,도시대기,111123,종로구,2021100119,0.004,0.5,0.057,0.023,43.0,25.0,서울 종로구 종로35가길 19
19,서울 종로구,도시대기,111123,종로구,2021100120,0.005,0.6,0.059,0.022,48.0,28.0,서울 종로구 종로35가길 19
20,서울 종로구,도시대기,111123,종로구,2021100121,0.004,0.5,0.062,0.016,51.0,33.0,서울 종로구 종로35가길 19
21,서울 종로구,도시대기,111123,종로구,2021100122,0.004,0.5,0.053,0.019,45.0,28.0,서울 종로구 종로35가길 19
22,서울 종로구,도시대기,111123,종로구,2021100123,0.003,0.3,0.054,0.01,33.0,24.0,서울 종로구 종로35가길 19
23,서울 종로구,도시대기,111123,종로구,2021100124,0.003,0.3,0.046,0.015,11.0,6.0,서울 종로구 종로35가길 19
24,서울 종로구,도시대기,111123,종로구,2021100201,0.002,0.3,0.046,0.012,10.0,7.0,서울 종로구 종로35가길 19
25,서울 종로구,도시대기,111123,종로구,2021100202,0.003,0.3,0.041,0.014,9.0,6.0,서울 종로구 종로35가길 19
26,서울 종로구,도시대기,111123,종로구,2021100203,0.003,0.3,0.039,0.015,9.0,8.0,서울 종로구 종로35가길 19
27,서울 종로구,도시대기,111123,종로구,2021100204,0.003,0.4,0.029,0.016,10.0,7.0,서울 종로구 종로35가길 19
28,서울 종로구,도시대기,111123,종로구,2021100205,0.002,0.4,0.029,0.016,11.0,9.0,서울 종로구 종로35가길 19
29,서울 종로구,도시대기,111123,종로구,2021100206,0.003,0.4,0.025,0.019,11.0,7.0,서울 종로구 종로35가길 19
30,서울 종로구,도시대기,111123,종로구,2021100207,0.003,0.4,0.023,0.022,13.0,7.0,서울 종로구 종로35가길 19
31,서울 종로구,도시대기,111123,종로구,2021100208,0.003,0.4,0.012,0.03,14.0,7.0,서울 종로구 종로35가길 19
32,서울 종로구,도시대기,111123,종로구,2021100209,0.003,0.4,0.015,0.028,15.0,7.0,서울 종로구 종로35가길 19
33,서울 종로구,도시대기,111123,종로구,2021100210,0.003,0.5,0.02,0.028,18.0,7.0,서울 종로구 종로35가길 19
34,서울 종로구,도시대기,111123,종로구,2021100211,0.003,0.4,0.033,0.025,24.0,11.0,서울 종로구 종로35가길 19
35,서울 종로구,도시대기,111123,종로구,2021100212,0.003,0.4,0.042,0.022,26.0,13.0,서울 종로구 종로35가길 19
36,서울 종로구,도시대기,111123,종로구,2021100213,0.003,0.4,0.051,0.019,30.0,16.0,서울 종로구 종로35가길 19
37,서울 종로구,도시대기,111123,종로구,2021100214,0.003,0.4,0.059,0.019,34.0,20.0,서울 종로구 종로35가길 19
38,서울 종로구,도시대기,111123,종로구,2021100215,0.003,0.4,0.069,0.016,31.0,21.0,서울 종로구 종로35가길 19
39,서울 종로구,도시대기,111123,종로구,2021100216,0.003,0.4,0.07,0.014,28.0,14.0,서울 종로구 종로35가길 19
40,서울 종로구,도시대기,111123,종로구,2021100217,0.004,0.4,0.071,0.015,31.0,19.0,서울 종로구 종로35가길 19
41,서울 종로구,도시대기,111123,종로구,2021100218,0.003,0.5,0.061,0.02,32.0,19.0,서울 종로구 종로35가길 19
42,서울 종로구,도시대기,111123,종로구,2021100219,0.004,0.5,0.057,0.027,38.0,25.0,서울 종로구 종로35가길 19
43,서울 종로구,도시대기,111123,종로구,2021100220,0.004,0.6,0.046,0.03,40.0,25.0,서울 종로구 종로35가길 19
44,서울 종로구,도시대기,111123,종로구,2021100221,0.003,0.7,0.036,0.033,46.0,30.0,서울 종로구 종로35가길 19
45,서울 종로구,도시대기,111123,종로구,2021100222,0.004,0.7,0.022,0.038,43.0,27.0,서울 종로구 종로35가길 19
46,서울 종로구,도시대기,111123,종로구,2021100223,0.003,0.7,0.019,0.037,41.0,25.0,서울 종로구 종로35가길 19
47,서울 종로구,도시대기,111123,종로구,2021100224,0.003,0.8,0.005,0.046,40.0,26.0,서울 종로구 종로35가길 19
