,datetime,SO2,CO,O3,NO2,PM10,PM25,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
0,2021-10-01 01:00:00,0.003,0.6,0.002,0.039,31.0,18.0,18.7,0.0,1.0,20.0,85,18.3,16.1,998.8,1008.7,0.0,0.0,0.0,0.0,0.0,0,2000,17.4,22.1,22.0,22.5,22.9
1,2021-10-01 02:00:00,0.003,0.6,0.002,0.035,27.0,16.0,18.3,0.0,0.3,0.0,89,18.6,16.4,998.9,1008.8,0.0,0.0,0.0,0.0,0.0,0,2000,17.2,21.8,21.8,22.4,22.8
2,2021-10-01 03:00:00,0.003,0.6,0.002,0.033,28.0,18.0,17.7,0.0,2.0,20.0,92,18.5,16.3,998.1,1008.1,0.0,0.0,0.0,0.0,0.0,0,2000,17.0,21.6,21.6,22.2,22.8
3,2021-10-01 04:00:00,0.003,0.6,0.002,0.03,26.0,16.0,17.4,0.0,1.0,50.0,91,18.1,15.9,997.9,1007.9,0.0,0.0,0.0,0.0,0.0,0,2000,16.5,21.3,21.4,22.0,22.7
4,2021-10-01 05:00:00,0.003,0.5,0.003,0.026,26.0,16.0,17.2,0.0,1.3,270.0,94,18.4,16.2,998.4,1008.4,0.0,0.0,0.0,0.0,4.0,0,1995,16.6,21.1,21.2,21.9,22.6
5,2021-10-01 06:00:00,0.003,0.5,0.002,0.025,22.0,14.0,17.0,0.0,1.9,360.0,94,18.2,16.0,999.2,1009.2,0.0,0.0,0.0,0.0,0.0,0,1910,16.5,21.0,21.0,21.7,22.5
6,2021-10-01 07:00:00,0.003,0.5,0.002,0.024,25.0,14.0,17.0,0.0,0.8,290.0,95,18.3,16.1,1000.4,1010.4,0.0,0.03,0.0,0.0,7.0,2,2000,16.9,20.8,20.8,21.6,22.4
7,2021-10-01 08:00:00,0.003,0.5,0.005,0.023,24.0,14.0,17.5,0.0,3.8,290.0,93,18.5,16.3,1002.0,1012.0,0.0,0.27,0.0,0.0,8.0,6,2000,19.1,20.8,20.7,21.4,22.3
8,2021-10-01 09:00:00,0.003,0.5,0.011,0.02,23.0,12.0,19.8,0.0,2.6,90.0,86,19.7,17.3,999.4,1009.3,0.6,0.97,0.0,0.0,5.0,5,2000,23.4,20.9,20.7,21.3,22.2
9,2021-10-01 10:00:00,0.003,0.6,0.026,0.016,40.0,22.0,21.4,0.0,3.0,90.0,76,19.2,16.9,999.3,1009.2,1.0,1.81,0.0,0.0,0.0,0,2000,27.0,21.4,20.9,21.3,22.1
10,2021-10-01 11:00:00,0.003,0.5,0.031,0.014,49.0,29.0,23.0,0.0,2.2,70.0,70,19.6,17.2,998.7,1008.5,1.0,2.35,0.0,0.0,0.0,0,2000,30.5,22.0,21.2,21.3,22.1
11,2021-10-01 12:00:00,0.003,0.5,0.035,0.017,43.0,24.0,24.6,0.0,1.1,90.0,65,20.0,17.5,998.0,1007.7,1.0,2.66,0.0,0.0,0.0,0,2000,33.1,22.7,21.7,21.4,22.0
12,2021-10-01 13:00:00,0.003,0.6,0.04,0.021,43.0,27.0,26.0,0.0,1.1,50.0,56,18.8,16.5,997.6,1007.3,1.0,2.7,0.0,0.0,0.0,0,2000,34.4,23.4,22.2,21.6,22.0
13,2021-10-01 14:00:00,0.003,0.5,0.051,0.02,42.0,24.0,27.2,0.0,2.1,250.0,50,17.9,15.8,997.4,1007.0,1.0,2.55,0.0,0.0,0.0,0,2000,33.7,24.1,22.8,21.8,22.1
14,2021-10-01 15:00:00,0.003,0.5,0.059,0.017,40.0,26.0,27.2,0.0,3.3,270.0,45,16.2,14.2,997.2,1006.8,1.0,2.25,0.0,0.0,0.0,0,2000,31.1,24.6,23.3,22.2,22.2
15,2021-10-01 16:00:00,0.003,0.4,0.064,0.014,39.0,20.0,26.9,0.0,2.7,270.0,47,16.6,14.6,997.2,1006.8,1.0,1.63,0.0,0.0,0.0,0,2000,27.2,24.8,23.7,22.5,22.3
16,2021-10-01 17:00:00,0.003,0.5,0.07,0.016,42.0,22.0,25.7,0.0,2.8,250.0,56,18.4,16.2,998.0,1007.7,1.0,0.88,0.0,0.0,0.0,0,2000,23.8,24.7,23.8,22.8,22.5
17,2021-10-01 18:00:00,0.003,0.5,0.06,0.017,44.0,25.0,23.9,0.0,3.2,250.0,59,17.4,15.3,998.0,1007.7,0.7,0.31,0.0,0.0,0.0,0,2000,21.2,24.4,23.8,23.0,22.6
18,2021-10-01 19:00:00,0.004,0.5,0.057,0.023,43.0,25.0,22.5,0.0,2.9,270.0,66,17.9,15.8,998.6,1008.4,0.0,0.01,0.0,0.0,4.0,0,2000,19.9,24.0,23.6,23.1,22.8
19,2021-10-01 20:00:00,0.005,0.6,0.059,0.022,48.0,28.0,21.8,0.0,2.4,290.0,72,18.8,16.5,999.1,1008.9,0.0,0.0,0.0,0.0,3.0,1,1741,19.6,23.6,23.3,23.1,22.9
20,2021-10-01 21:00:00,0.004,0.5,0.062,0.016,51.0,33.0,21.5,0.0,3.4,270.0,75,19.1,16.8,1000.7,1010.6,0.0,0.0,0.0,0.0,9.0,8,1760,20.0,23.3,23.1,23.1,22.9
21,2021-10-01 22:00:00,0.004,0.5,0.053,0.019,45.0,28.0,21.4,0.0,4.0,250.0,79,20.0,17.5,1002.4,1012.3,0.0,0.0,0.0,0.0,10.0,7,1652,20.0,23.1,22.9,23.0,23.0
22,2021-10-01 23:00:00,0.003,0.3,0.054,0.01,33.0,24.0,17.2,12.7,3.7,180.0,88,17.2,15.1,1002.2,1012.2,0.0,0.0,0.0,0.0,10.0,8,1975,17.8,22.0,22.2,22.8,23.0
23,2021-10-02 00:00:00,0.003,0.3,0.046,0.015,11.0,6.0,17.0,0.6,2.9,50.0,90,17.4,15.3,999.6,1009.6,0.0,0.0,0.0,0.0,9.0,6,2000,17.8,21.7,21.8,22.6,23.0
24,2021-10-02 01:00:00,0.002,0.3,0.046,0.012,10.0,7.0,16.6,0.0,1.8,50.0,90,16.9,14.9,999.8,1009.8,0.0,0.0,0.0,0.0,10.0,4,2000,17.6,21.6,21.6,22.4,22.9
25,2021-10-02 02:00:00,0.003,0.3,0.041,0.014,9.0,6.0,16.8,0.0,0.9,20.0,91,17.4,15.3,1000.0,1010.0,0.0,0.0,0.0,0.0,8.0,6,2000,17.9,21.4,21.4,22.2,22.8
26,2021-10-02 03:00:00,0.003,0.3,0.039,0.015,9.0,8.0,16.6,0.0,0.9,50.0,93,17.5,15.4,1000.5,1010.5,0.0,0.0,0.0,0.0,10.0,6,1531,17.7,21.3,21.3,22.0,22.7
27,2021-10-02 04:00:00,0.003,0.4,0.029,0.016,10.0,7.0,16.7,0.0,1.3,20.0,93,17.6,15.5,1001.0,1011.0,0.0,0.0,0.0,0.0,8.0,2,2000,17.4,21.2,21.2,21.9,22.6
28,2021-10-02 05:00:00,0.002,0.4,0.029,0.016,11.0,9.0,16.5,0.0,1.2,20.0,95,17.7,15.6,1001.2,1011.3,0.0,0.0,0.0,0.0,6.0,6,2000,17.6,21.1,21.0,21.7,22.5
29,2021-10-02 06:00:00,0.003,0.4,0.025,0.019,11.0,7.0,16.6,0.0,1.3,20.0,94,17.7,15.6,1001.9,1012.0,0.0,0.0,0.0,0.0,7.0,7,2000,18.0,20.9,20.9,21.6,22.4
30,2021-10-02 07:00:00,0.003,0.4,0.023,0.022,13.0,7.0,16.9,0.0,0.9,20.0,94,18.1,15.9,1002.6,1012.7,0.0,0.01,0.0,0.0,8.0,8,1913,18.4,20.9,20.8,21.5,22.3
31,2021-10-02 08:00:00,0.003,0.4,0.012,0.03,14.0,7.0,17.5,0.0,1.9,50.0,95,18.9,16.6,1003.3,1013.3,0.0,0.13,0.0,0.0,8.0,8,1972,19.5,21.0,20.8,21.4,22.2
32,2021-10-02 09:00:00,0.003,0.4,0.015,0.028,15.0,7.0,18.8,0.0,1.9,20.0,91,19.6,17.2,1003.6,1013.6,0.3,0.8,0.0,0.0,8.0,8,2000,23.9,21.1,20.8,21.3,22.2
33,2021-10-02 10:00:00,0.003,0.5,0.02,0.028,18.0,7.0,20.9,0.0,0.9,230.0,81,20.0,17.5,1004.2,1014.1,0.9,1.72,0.0,0.0,7.0,7,2000,26.9,21.6,21.0,21.3,22.1
34,2021-10-02 11:00:00,0.003,0.4,0.033,0.025,24.0,11.0,21.7,0.0,0.7,340.0,77,19.9,17.4,1004.3,1014.2,0.4,1.33,0.0,0.0,4.0,4,2000,27.7,22.2,21.4,21.3,22.0
35,2021-10-02 12:00:00,0.003,0.4,0.042,0.022,26.0,13.0,23.5,0.0,1.8,270.0,64,18.4,16.2,1004.0,1013.8,0.9,2.62,0.0,0.0,3.0,3,2000,33.6,22.8,21.8,21.4,22.0
36,2021-10-02 13:00:00,0.003,0.4,0.051,0.019,30.0,16.0,24.2,0.0,2.3,270.0,61,18.3,16.1,1003.3,1013.0,0.9,2.39,0.0,0.0,3.0,3,2000,32.7,23.5,22.4,21.6,22.0
37,2021-10-02 14:00:00,0.003,0.4,0.059,0.019,34.0,20.0,25.7,0.0,2.4,200.0,55,18.1,15.9,1002.9,1012.7,1.0,2.63,0.0,0.0,2.0,2,2000,33.4,24.1,22.9,21.9,22.1
38,2021-10-02 15:00:00,0.003,0.4,0.069,0.016,31.0,21.0,26.2,0.0,2.2,230.0,54,18.3,16.1,1002.6,1012.3,1.0,2.32,0.0,0.0,3.0,3,2000,31.8,24.7,23.4,22.2,22.2
39,2021-10-02 16:00:00,0.003,0.4,0.07,0.014,28.0,14.0,26.1,0.0,3.0,270.0,53,17.8,15.7,1002.9,1012.6,0.9,1.65,0.0,0.0,2.0,1,2000,28.0,25.0,23.8,22.5,22.3
40,2021-10-02 17:00:00,0.004,0.4,0.071,0.015,31.0,19.0,25.2,0.0,3.1,250.0,55,17.6,15.5,1003.4,1013.2,1.0,0.98,0.0,0.0,1.0,0,2000,24.3,25.0,24.0,22.8,22.4
41,2021-10-02 18:00:00,0.003,0.5,0.061,0.02,32.0,19.0,23.7,0.0,2.2,270.0,58,16.9,14.9,1003.9,1013.7,0.8,0.33,0.0,0.0,1.0,0,2000,22.0,24.7,24.0,23.1,22.6
42,2021-10-02 19:00:00,0.004,0.5,0.057,0.027,38.0,25.0,22.5,0.0,0.7,270.0,64,17.4,15.3,1004.2,1014.0,0.0,0.01,0.0,0.0,0.0,0,2000,20.4,24.2,23.7,23.2,22.8
43,2021-10-02 20:00:00,0.004,0.6,0.046,0.03,40.0,25.0,21.1,0.0,1.6,270.0,72,17.9,15.8,1005.4,1015.3,0.0,0.0,0.0,0.0,0.0,0,2000,19.8,23.7,23.4,23.2,22.9
44,2021-10-02 21:00:00,0.003,0.7,0.036,0.033,46.0,30.0,20.8,0.0,0.3,0.0,77,18.9,16.6,1005.7,1015.7,0.0,0.0,0.0,0.0,0.0,0,2000,19.2,23.3,23.1,23.1,23.0
45,2021-10-02 22:00:00,0.004,0.7,0.022,0.038,43.0,27.0,20.3,0.0,0.7,230.0,79,18.8,16.5,1006.1,1016.1,0.0,0.0,0.0,0.0,0.0,0,2000,18.8,23.0,22.8,23.0,23.0
46,2021-10-02 23:00:00,0.003,0.7,0.019,0.037,41.0,25.0,19.9,0.0,0.7,340.0,84,19.5,17.1,1006.6,1016.6,0.0,0.0,0.0,0.0,0.0,0,1835,18.5,22.7,22.6,22.9,23.0
47,2021-10-03 00:00:00,0.003,0.8,0.005,0.046,40.0,26.0,19.5,0.0,0.7,360.0,86,19.4,17.0,1006.8,1016.7,0.0,0.0,0.0,0.0,0.0,0,1404,18.2,22.4,22.3,22.7,23.0
48,2021-10-03 01:00:00,0.003,0.7,0.007,0.038,38.0,24.0,19.1,0.0,0.0,0.0,89,19.6,17.2,1007.1,1017.1,0.0,0.0,0.0,0.0,0.0,0,1249,17.8,22.1,22.1,22.6,22.9
49,2021-10-03 02:00:00,0.004,0.7,0.006,0.038,37.0,26.0,18.7,0.0,1.0,50.0,91,19.5,17.1,1007.0,1017.0,0.0,0.0,0.0,0.0,0.0,0,700,17.7,21.9,21.9,22.4,22.9
50,2021-10-03 03:00:00,0.003,0.7,0.004,0.041,42.0,28.0,18.1,0.0,1.5,50.0,89,18.4,16.2,1007.2,1017.2,0.0,0.0,0.0,0.0,0.0,0,643,17.1,21.7,21.7,22.2,22.8
51,2021-10-03 04:00:00,0.003,0.6,0.007,0.032,41.0,28.0,17.7,0.0,2.1,50.0,92,18.5,16.3,1007.1,1017.2,0.0,0.0,0.0,0.0,0.0,0,638,17.0,21.5,21.5,22.1,22.7
52,2021-10-03 05:00:00,0.003,0.6,0.009,0.023,40.0,28.0,17.4,0.0,2.0,50.0,93,18.4,16.2,1006.8,1016.9,0.0,0.0,0.0,0.0,0.0,0,634,16.8,21.3,21.3,22.0,22.6
53,2021-10-03 06:00:00,0.003,0.5,0.016,0.017,37.0,25.0,17.1,0.0,1.4,70.0,93,18.1,15.9,1007.9,1018.0,0.0,0.0,0.0,0.0,0.0,0,636,16.4,21.1,21.1,21.8,22.6
54,2021-10-03 07:00:00,0.003,0.5,0.02,0.015,35.0,25.0,17.2,0.0,1.8,70.0,95,18.5,16.3,1008.7,1018.8,0.0,0.03,0.0,0.0,0.0,0,691,16.9,20.9,20.9,21.7,22.5
55,2021-10-03 08:00:00,0.003,0.5,0.022,0.015,31.0,22.0,18.0,0.0,1.9,70.0,94,19.4,17.0,1008.7,1018.7,0.7,0.4,0.0,0.0,0.0,0,879,18.2,20.9,20.8,21.5,22.4
56,2021-10-03 09:00:00,0.003,0.5,0.026,0.014,30.0,20.0,19.9,0.0,2.0,50.0,86,19.9,17.4,1009.5,1019.5,1.0,1.07,0.0,0.0,0.0,0,1146,22.4,21.0,20.8,21.4,22.3
57,2021-10-03 10:00:00,0.003,0.5,0.033,0.015,31.0,23.0,21.8,0.0,2.1,50.0,79,20.5,17.9,1009.7,1019.6,1.0,1.72,0.0,0.0,0.0,0,1422,27.0,21.4,20.9,21.3,22.2
58,2021-10-03 11:00:00,0.003,0.5,0.047,0.014,34.0,25.0,23.8,0.0,1.3,50.0,72,21.2,18.4,1010.0,1019.8,1.0,2.28,0.0,0.0,1.0,0,1889,31.1,22.0,21.3,21.3,22.1
59,2021-10-03 12:00:00,0.003,0.5,0.055,0.013,35.0,24.0,26.0,0.0,2.6,230.0,61,20.4,17.8,1009.1,1018.9,1.0,2.6,0.0,0.0,0.0,0,2000,33.6,22.9,21.8,21.4,22.0
60,2021-10-03 13:00:00,0.003,0.4,0.068,0.009,36.0,24.0,27.5,0.0,3.0,180.0,54,19.7,17.3,1008.9,1018.6,1.0,2.73,0.0,0.0,2.0,0,2000,35.0,23.8,22.4,21.6,22.0
61,2021-10-03 14:00:00,0.003,0.4,0.072,0.008,35.0,22.0,28.6,0.0,2.7,250.0,47,18.3,16.1,1007.8,1017.5,1.0,2.53,0.0,0.0,6.0,0,2000,34.1,24.5,23.1,21.9,22.1
62,2021-10-03 15:00:00,0.004,0.4,0.069,0.009,34.0,17.0,28.7,0.0,4.3,180.0,43,16.8,14.8,1007.6,1017.3,1.0,2.21,0.0,0.0,4.0,0,2000,32.3,25.0,23.6,22.3,22.2
63,2021-10-03 16:00:00,0.003,0.4,0.066,0.009,39.0,20.0,27.9,0.0,3.7,200.0,40,15.0,13.0,1007.9,1017.6,0.7,1.17,0.0,0.0,8.0,0,2000,26.6,25.2,24.0,22.6,22.3
64,2021-10-03 17:00:00,0.004,0.4,0.062,0.01,35.0,22.0,26.8,0.0,2.6,180.0,44,15.5,13.5,1008.1,1017.9,0.0,0.5,0.0,0.0,8.0,0,2000,24.5,25.0,24.1,22.9,22.5
65,2021-10-03 18:00:00,0.003,0.4,0.057,0.014,35.0,18.0,25.8,0.0,3.2,200.0,49,16.2,14.2,1008.4,1018.2,0.0,0.22,0.0,0.0,7.0,0,2000,22.4,24.7,24.0,23.1,22.7
66,2021-10-03 19:00:00,0.003,0.4,0.053,0.017,39.0,22.0,24.7,0.0,1.8,200.0,52,16.1,14.1,1008.7,1018.5,0.0,0.01,0.0,0.0,8.0,0,2000,20.8,24.3,23.8,23.2,22.8
67,2021-10-03 20:00:00,0.003,0.5,0.042,0.024,37.0,23.0,23.6,0.0,1.2,180.0,58,16.8,14.8,1009.0,1018.8,0.0,0.0,0.0,0.0,7.0,2,2000,20.0,23.9,23.6,23.3,22.9
68,2021-10-03 21:00:00,0.003,0.6,0.021,0.041,40.0,28.0,22.4,0.0,1.9,20.0,64,17.3,15.2,1008.9,1018.8,0.0,0.0,0.0,0.0,2.0,0,2000,19.6,23.5,23.3,23.2,23.0
69,2021-10-03 22:00:00,0.003,0.6,0.015,0.041,41.0,26.0,21.6,0.0,0.3,0.0,65,16.7,14.7,1008.8,1018.7,0.0,0.0,0.0,0.0,6.0,0,2000,18.9,23.1,23.0,23.1,23.0
70,2021-10-03 23:00:00,0.004,0.8,0.004,0.052,39.0,29.0,20.7,0.0,2.1,360.0,69,16.8,14.8,1008.8,1018.8,0.0,0.0,0.0,0.0,0.0,0,2000,18.6,22.8,22.7,22.9,23.0
71,2021-10-04 00:00:00,0.003,0.8,0.003,0.049,41.0,28.0,20.2,0.0,1.4,20.0,71,16.7,14.7,1008.3,1018.3,0.0,0.0,0.0,0.0,3.0,0,2000,18.1,22.5,22.4,22.8,23.0
72,2021-10-04 01:00:00,0.003,0.8,0.003,0.048,41.0,26.0,19.5,0.0,1.2,20.0,74,16.7,14.7,1008.2,1018.2,0.0,0.0,0.0,0.0,6.0,0,2000,17.7,22.2,22.2,22.6,23.0
73,2021-10-04 02:00:00,0.003,0.7,0.005,0.04,38.0,25.0,19.3,0.0,1.2,360.0,76,16.9,14.9,1008.5,1018.5,0.0,0.0,0.0,0.0,7.0,0,2000,18.0,22.0,21.9,22.5,22.9
74,2021-10-04 03:00:00,0.003,0.7,0.006,0.036,37.0,25.0,19.4,0.0,0.7,70.0,77,17.3,15.2,1008.4,1018.4,0.0,0.0,0.0,0.0,8.0,4,2000,18.7,21.8,21.8,22.3,22.9
75,2021-10-04 04:00:00,0.003,0.6,0.009,0.031,35.0,23.0,19.6,0.0,1.0,90.0,76,17.3,15.2,1008.5,1018.5,0.0,0.0,0.0,0.0,8.0,7,2000,19.0,21.8,21.6,22.2,22.8
76,2021-10-04 05:00:00,0.004,0.6,0.008,0.031,33.0,24.0,19.9,0.0,1.2,50.0,75,17.4,15.3,1009.2,1019.2,0.0,0.0,0.0,0.0,9.0,7,2000,19.5,21.8,21.6,22.0,22.7
77,2021-10-04 06:00:00,0.003,0.6,0.009,0.029,34.0,23.0,20.2,0.0,1.4,50.0,76,17.9,15.8,1009.7,1019.7,0.0,0.0,0.0,0.0,9.0,7,2000,19.8,21.8,21.5,22.0,22.6
78,2021-10-04 07:00:00,0.003,0.6,0.005,0.034,35.0,24.0,20.3,0.0,1.5,50.0,75,17.8,15.7,1010.2,1020.2,0.0,0.01,0.0,0.0,10.0,6,2000,20.0,21.8,21.5,21.9,22.5
79,2021-10-04 08:00:00,0.003,0.6,0.005,0.035,36.0,24.0,20.7,0.0,1.7,50.0,76,18.5,16.3,1010.2,1020.2,0.0,0.13,0.0,0.0,10.0,4,2000,20.5,21.9,21.5,21.8,22.5
80,2021-10-04 09:00:00,0.004,0.5,0.015,0.033,41.0,27.0,21.3,0.0,1.8,50.0,76,19.1,16.8,1009.6,1019.6,0.0,0.22,0.0,0.0,10.0,2,2000,21.4,22.0,21.6,21.8,22.4
81,2021-10-04 10:00:00,0.004,0.5,0.02,0.029,42.0,26.0,22.1,0.0,1.8,90.0,79,20.9,18.2,1010.1,1020.0,0.0,0.19,0.0,0.0,10.0,6,2000,21.3,22.1,21.7,21.8,22.4
82,2021-10-04 11:00:00,0.003,0.5,0.019,0.03,43.0,28.0,23.4,0.0,2.9,160.0,79,22.7,19.5,1010.0,1019.8,0.0,0.33,0.0,0.0,10.0,6,2000,22.5,22.2,21.7,21.8,22.3
83,2021-10-04 12:00:00,0.004,0.4,0.029,0.02,45.0,25.0,24.3,0.0,4.5,200.0,78,23.7,20.2,1009.4,1019.2,0.0,0.31,0.0,0.0,10.0,7,2000,23.0,22.5,21.9,21.8,22.3
84,2021-10-04 13:00:00,0.004,0.4,0.03,0.019,43.0,21.0,24.5,0.0,3.9,180.0,80,24.6,20.8,1008.6,1018.4,0.0,0.4,0.0,0.0,10.0,7,2000,22.9,22.7,22.1,21.9,22.3
85,2021-10-04 14:00:00,0.004,0.3,0.035,0.013,41.0,18.0,25.4,0.0,4.4,200.0,77,24.9,21.0,1008.2,1018.0,0.0,0.61,0.0,0.0,10.0,7,2000,24.4,22.9,22.2,22.0,22.3
86,2021-10-04 15:00:00,0.003,0.3,0.037,0.01,45.0,16.0,25.5,0.0,5.1,200.0,78,25.3,21.3,1007.7,1017.5,0.0,0.31,0.0,0.0,10.0,8,2000,24.4,23.2,22.4,22.0,22.3
87,2021-10-04 16:00:00,0.003,0.3,0.035,0.011,40.0,14.0,25.4,0.0,3.7,200.0,78,25.2,21.2,1007.8,1017.6,0.0,0.26,0.0,0.0,10.0,7,2000,24.0,23.3,22.6,22.1,22.3
88,2021-10-04 17:00:00,0.003,0.3,0.031,0.013,40.0,17.0,25.3,0.0,5.0,200.0,80,25.6,21.5,1008.1,1017.9,0.0,0.18,0.0,0.0,10.0,8,2000,23.2,23.4,22.7,22.3,22.4
89,2021-10-04 18:00:00,0.003,0.3,0.03,0.012,38.0,14.0,24.1,2.5,2.8,250.0,92,27.6,22.7,1008.6,1018.4,0.0,0.02,0.0,0.0,10.0,8,326,22.7,23.4,22.8,22.3,22.4
